2022-07-21T17:19:02.460063-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-07-24T13:50:59.243659-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:52:44.810315-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:58:23.666755-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:59:33.582928-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T13:59:50.952767-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:00:33.668247-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:04:13.454030-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:08:15.776464-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:09:06.756250-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:11:31.025291-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:13:40.235996-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:22:10.046740-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:24:14.616004-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:24:51.629924-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:25:41.884712-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:29:11.967902-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:50:32.305961-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:52:45.151582-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T14:57:38.528899-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T15:08:53.677788-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T15:10:06.030108-05:00[America/Chicago] - User ID: 11 , Login Successful: false 
2022-07-24T15:10:09.179273-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T15:33:28.215120-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T15:35:41.744255-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T15:36:41.541382-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T15:48:13.951627-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T15:51:16.019197-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T15:54:59.015405-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:02:25.224332-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:12:41.835326-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:13:45.549638-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:14:09.019125-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:15:51.069265-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:18:09.357169-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:18:56.431210-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:19:14.308651-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:23:49.113840-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:24:58.414619-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:25:49.825159-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T16:26:04.429094-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:34:15.397199-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:36:08.245168-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:36:58.103891-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:38:29.246364-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:38:59.547832-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:41:37.026172-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:42:19.814300-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:42:45.838943-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:45:40.673265-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:46:54.975341-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:52:54.478967-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:55:37.237231-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T18:57:01.296746-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T19:09:53.948410-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T19:11:50.361014-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T19:13:31.927604-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T19:14:08.957913-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T19:14:38.616447-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T19:19:35.486028-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T19:20:34.136084-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-24T19:21:42.928341-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T09:47:19.625784-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T10:14:08.723671-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T10:57:49.550128-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:04:25.442172-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:08:18.143619-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:08:44.309479-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:25:49.850280-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:39:26.906682-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:45:39.254211-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:47:04.600041-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:48:41.471464-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:48:59.618008-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-25T11:49:43.555388-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T14:51:56.224896-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T14:56:47.426027-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:25:39.963077-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:29:25.703621-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:33:36.042226-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:43:13.687703-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:44:18.425356-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:44:58.170920-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:47:05.846102-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:52:31.470945-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:57:32.127962-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T15:59:38.054936-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T16:01:17.629969-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T16:02:39.778987-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T16:34:00.798493-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T16:36:33.946174-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-07-30T16:37:22.592821-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:34:45.874439-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:36:24.670206-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:48:11.772180-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:49:55.068708-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:52:06.713613-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:54:04.382652-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:54:32.563871-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:55:28.065074-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:56:22.681962-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:57:40.880119-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T11:59:29.593367-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:02:17.025144-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:06:53.592342-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:08:49.595763-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:16:32.451304-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:20:05.045959-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:30:25.872234-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:30:27.316691-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-01T12:30:28.358245-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:30:29.711327-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-01T12:30:33.879304-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:30:34.945056-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-01T12:30:38.595265-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:30:40.347039-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-01T12:30:50.544341-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T12:35:20.891697-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T13:27:34.708478-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-01T13:29:44.040322-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T17:51:15.229425-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T17:51:59.415633-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:02:11.297755-05:00[America/Chicago] - User ID: 11 , Login Successful: false 
2022-08-02T18:02:15.150071-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:12:34.099974-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:12:58.432668-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:14:56.332598-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:16:21.533730-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:17:40.248611-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:18:50.272525-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:20:23.337177-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:25:56.496256-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:27:42.563814-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:30:16.687247-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:31:21.918255-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:32:24.623517-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T18:57:30.822464-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T19:01:21.618108-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T19:13:58.386764-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T19:14:46.466672-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-02T19:15:37.018491-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-03T18:51:27.504651-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-03T19:07:32.432646-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-03T19:10:26.803177-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-03T19:12:30.301324-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-03T19:13:16.780101-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-03T19:27:34.240867-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-03T19:33:16.899258-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-07T09:12:36.027845-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-07T09:24:31.406078-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-07T09:24:58.803773-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-07T09:42:44.346877-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-08T18:50:10.023638-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-08T19:37:27.692732-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-09T18:43:01.078793-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-10T16:11:12.307545-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-10T16:22:25.575204-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-10T16:26:30.556129-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-10T16:26:34.817482-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-10T16:27:48.612398-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-10T16:27:50.881413-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-10T16:28:51.993215-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-10T16:28:55.736310-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-10T16:30:36.329739-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-10T16:30:38.347872-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-10T16:31:57.855515-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T10:41:54.247124-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T10:41:56.507237-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-11T10:43:08.831662-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T10:43:13.677379-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-11T10:43:47.448224-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T10:52:50.814501-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T10:53:58.154349-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T10:54:01.697464-05:00[America/Chicago] - User ID: 1 , Login Successful: false 
2022-08-11T10:55:42.971438-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T10:59:23.284621-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T11:08:04.392024-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T20:43:38.157572+04:30[Asia/Kabul] - User ID: 1 , Login Successful: true 
2022-08-11T20:53:36.600304+04:30[Asia/Kabul] - User ID: 1 , Login Successful: true 
2022-08-11T11:24:03.118325-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
2022-08-11T11:24:51.914373-05:00[America/Chicago] - User ID: 1 , Login Successful: true 
